Municipios,Ocupación_CIUO,Cargo_identificado,Nivel_educativo,programas_formar_esta_ocupación,instituciones_que_ofrecen_ programa,Nivel_formación,Municipios_programa,Brecha_cantidad
BOGOTÁ,2529.PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,ADMINISTRADOR DE SISTEMAS,TÉCNICO;TÉCNICO EN SISTEMAS;,TÉCNICO EN SISTEMAS,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TÉCNICO,BOGOTÁ,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ,2529.PROFESIONALES EN BASES DE DATOS Y EN REDES DE COMPUTADORES NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,ADMINISTRADOR DE SISTEMAS,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;CERTIFICACIONES EN LINUX A NIVEL DE SERVIDORES;CERTIFICACIONES EN WINDOWS A NIVEL DE SERVIDORES;CERTIFICACIONES VMWARE A NIVEL DE SERVIDORES;CERTIFICACIONES RED HAT;,INGENIERÍA DE SISTEMAS,UNIVERSIDAD NACIONAL DE COLOMBIA;UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS;PONTIFICIA UNIVERSIDAD JAVERIANA;UNIVERSIDAD INCCA DE COLOMBIA;FUNDACIÓN UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO;UNIVERSIDAD CENTRAL;UNIVERSIDAD DE SAN BUENAVENTURA;UNIVERS,UNIVERSITARIO,BOGOTÁ,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ,2511. ANALISTAS DE SISTEMAS,ANALISTA DE ARQUITECTURA Y SERVICIOS DIGITALES,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;POSGRADO;,INGENIERÍA DE SISTEMAS,UNIVERSIDAD NACIONAL DE COLOMBIA;UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS;PONTIFICIA UNIVERSIDAD JAVERIANA;UNIVERSIDAD INCCA DE COLOMBIA;FUNDACIÓN UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO;UNIVERSIDAD CENTRAL;UNIVERSIDAD DE SAN BUENAVENTURA;UNIVERS,UNIVERSITARIO,BOGOTÁ,NO EXISTE BRECHA DE CANTIDAD
CALI;MANIZALES,2511. ANALISTAS DE SISTEMAS,ANALISTA DE CALIDAD,TECNÓLOGO;TECNOLOGÍA EN SISTEMAS DE INFORMACIÓN;,TECNOLOGÍA EN ANALISIS Y DESARROLLO DE SISTEMAS DE INFORMACIÓN,SERVICIO NACIONAL DE APRENDIZAJE-SENA-;UNIVERSIDAD AUTÓNOMA DE MANIZALES;UNIVERSIDAD DE CALDAS,TECNÓLOGO,MANIZALES,UNIVERSITARIO;NO DEFINIDO;
CALI;MANIZALES,2511. ANALISTAS DE SISTEMAS,ANALISTA DE CALIDAD,TECNÓLOGO;TECNOLOGÍA EN SISTEMAS DE INFORMACIÓN;,TECNOLOGÍA EN SISTEMAS DE INFORMACIÓN,"UNIVERSIDAD DEL VALLE;UNIVERSIDAD SANTIAGO DE CALI;INSTITUCIÓN UNIVERSITARIA ANTONIO JOSE CAMACHO;FUNDACIÓN CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES, -F.C.E.C.E.P.",TECNÓLOGO,CALI,UNIVERSITARIO;NO DEFINIDO;
CALI;MANIZALES,2511. ANALISTAS DE SISTEMAS,ANALISTA DE CALIDAD,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;CURSO EN IONIC;CURSO EN ANGULAR;CURSO EN SWIFT;CURSO EN JAVA;,INGENIERÍA DE SISTEMAS,UNIVERSIDAD DEL VALLE;PONTIFICIA UNIVERSIDAD JAVERIANA;UNIVERSIDAD DE SAN BUENAVENTURA;UNIVERSIDAD SANTIAGO DE CALI;UNIVERSIDAD LIBRE;UNIVERSIDAD COOPERATIVA DE COLOMBIA;UNIVERSIDAD ICESI;FUNDACIÓN UNIVERSITARIA CATOLICA LUMEN GENTIUM;INSTITUCIÓN UNIVERSI,UNIVERSITARIO,CALI,UNIVERSITARIO;NO DEFINIDO;
MEDELLÍN;BOGOTÁ,2511. ANALISTAS DE SISTEMAS,ANALISTA DE DATOS,TÉCNICO;TÉCNICO EN SISTEMAS;PLATAFORMAS SAS;PLATAFORMAS IAS;,TÉCNICO EN SISTEMAS,TECNOLÓGICO DE ANTIOQUIA,TÉCNICO,MEDELLÍN,NO EXISTE BRECHA DE CANTIDAD
MEDELLÍN;BOGOTÁ;BUCARAMANGA,2153. INGENIEROS DE TELECOMUNICACIONES,ANALISTA DE INNOVACIÓN,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;CERTIFICACIONES;,INGENIERÍA DE SISTEMAS,UNIVERSIDAD INDUSTRIAL DE SANTANDER;UNIVERSIDAD PONTIFICIA BOLIVARIANA;UNIVERSIDAD COOPERATIVA DE COLOMBIA;UNIVERSIDAD AUTÓNOMA DE BUCARAMANGA-UNAB-;CORPORACIÓN UNIVERSITARIA DE CIENCIA Y DESARROLLO - UNICIENCIA;CORPORACIÓN UNIVERSIDAD DE INVESTIGACIÓN Y,UNIVERSITARIO,BUCARAMANGA,NO EXISTE BRECHA DE CANTIDAD
MEDELLÍN;BOGOTÁ;BUCARAMANGA,2153. INGENIEROS DE TELECOMUNICACIONES,ANALISTA DE INNOVACIÓN,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;CERTIFICACIONES;,INGENIERÍA DE SISTEMAS,UNIVERSIDAD NACIONAL DE COLOMBIA;UNIVERSIDAD DE ANTIOQUIA;UNIVERSIDAD PONTIFICIA BOLIVARIANA;UNIVERSIDAD EAFIT-;UNIVERSIDAD DE SAN BUENAVENTURA;UNIVERSIDAD DE MEDELLIN;UNIVERSIDAD CATOLICA LUIS AMIGO-FUNLAM;POLITÉCNICO GRANCOLOMBIANO;INSTITUCIÓN UNIVERSIT,UNIVERSITARIO,MEDELLÍN,NO EXISTE BRECHA DE CANTIDAD
MEDELLÍN;BOGOTÁ;BUCARAMANGA,2153. INGENIEROS DE TELECOMUNICACIONES,ANALISTA DE INNOVACIÓN,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;CERTIFICACIONES;,INGENIERÍA DE SISTEMAS,UNIVERSIDAD NACIONAL DE COLOMBIA;UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS;PONTIFICIA UNIVERSIDAD JAVERIANA;UNIVERSIDAD INCCA DE COLOMBIA;FUNDACIÓN UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO;UNIVERSIDAD CENTRAL;UNIVERSIDAD DE SAN BUENAVENTURA;UNIVERS,UNIVERSITARIO,BOGOTÁ,NO EXISTE BRECHA DE CANTIDAD
