Municipios,Ocupación_CIUO,Cargo_identificado,Nivel_educativo,programas_formar_esta_ocupación,instituciones_que_ofrecen_ programa,Nivel_formación,Municipios_programa,Brecha_cantidad
MANIZALES;BOGOTÁ;BARRANQUILLA;BUCARAMANGA;CALI;MEDELLÍN,1330. DIRECTORES DE SERVICIOS DE TECNOLOGIA DE LA INFORMACION Y LAS COMUNICACIONES,DIRECTOR DE DESARROLLO Y/O OPERACIÓNES,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;INGENIERÍA MECATRÓNICA;CERTIFICACIÓN EN BASES DE DATOS;CERTIFICACIÓN EN ATENCIÓN AL CLIENTE;CERTIFICACIONES EN WINDOWS Y LINUX;CONOCIMIENTO TÉCNICO EN JAVA;CONOCIMIENTO DE NOTE;CERTIFICACIÓN PLSQL;CERTIFICACIÓN ORACLE,INGENIERÍA MECATRÓNICA,,UNIVERSITARIO,CALI,UNIVERSITARIO;INGENIERÍA MECATRÓNICA;
MANIZALES;BOGOTÁ;BARRANQUILLA;BUCARAMANGA;CALI;MEDELLÍN,1330. DIRECTORES DE SERVICIOS DE TECNOLOGIA DE LA INFORMACION Y LAS COMUNICACIONES,DIRECTOR DE DESARROLLO Y/O OPERACIÓNES,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;INGENIERÍA MECATRÓNICA;CERTIFICACIÓN EN BASES DE DATOS;CERTIFICACIÓN EN ATENCIÓN AL CLIENTE;CERTIFICACIONES EN WINDOWS Y LINUX;CONOCIMIENTO TÉCNICO EN JAVA;CONOCIMIENTO DE NOTE;CERTIFICACIÓN PLSQL;CERTIFICACIÓN ORACLE,INGENIERÍA DE SISTEMAS,UNIVERSIDAD INDUSTRIAL DE SANTANDER;UNIVERSIDAD PONTIFICIA BOLIVARIANA;UNIVERSIDAD COOPERATIVA DE COLOMBIA;UNIVERSIDAD AUTÓNOMA DE BUCARAMANGA-UNAB-;CORPORACIÓN UNIVERSITARIA DE CIENCIA Y DESARROLLO - UNICIENCIA;CORPORACIÓN UNIVERSIDAD DE INVESTIGACIÓN Y,UNIVERSITARIO,BUCARAMANGA,NO EXISTE BRECHA DE CANTIDAD
MANIZALES;BOGOTÁ;BARRANQUILLA;BUCARAMANGA;CALI;MEDELLÍN,1330. DIRECTORES DE SERVICIOS DE TECNOLOGIA DE LA INFORMACION Y LAS COMUNICACIONES,DIRECTOR DE DESARROLLO Y/O OPERACIÓNES,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;INGENIERÍA MECATRÓNICA;CERTIFICACIÓN EN BASES DE DATOS;CERTIFICACIÓN EN ATENCIÓN AL CLIENTE;CERTIFICACIONES EN WINDOWS Y LINUX;CONOCIMIENTO TÉCNICO EN JAVA;CONOCIMIENTO DE NOTE;CERTIFICACIÓN PLSQL;CERTIFICACIÓN ORACLE,INGENIERÍA DE SISTEMAS,UNIVERSIDAD DEL NORTE;UNIVERSIDAD AUTÓNOMA DEL CARIBE- UNIAUTÓNOMA;UNIVERSIDAD LIBRE;UNIVERSIDAD SIMON BOLIVAR;CORPORACIÓN UNIVERSITARIA EMPRESARIAL DE SALAMANCA;CORPORACIÓN UNIVERSITARIA ANTONIO JOSE DE SUCRE - CORPOSUCRE;CORPORACIÓN POLITÉCNICO DE LA CO,UNIVERSITARIO,BARRANQUILLA,NO EXISTE BRECHA DE CANTIDAD
MANIZALES;BOGOTÁ;BARRANQUILLA;BUCARAMANGA;CALI;MEDELLÍN,1330. DIRECTORES DE SERVICIOS DE TECNOLOGIA DE LA INFORMACION Y LAS COMUNICACIONES,DIRECTOR DE DESARROLLO Y/O OPERACIÓNES,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;INGENIERÍA MECATRÓNICA;CERTIFICACIÓN EN BASES DE DATOS;CERTIFICACIÓN EN ATENCIÓN AL CLIENTE;CERTIFICACIONES EN WINDOWS Y LINUX;CONOCIMIENTO TÉCNICO EN JAVA;CONOCIMIENTO DE NOTE;CERTIFICACIÓN PLSQL;CERTIFICACIÓN ORACLE,INGENIERÍA DE SISTEMAS,UNIVERSIDAD DE CALDAS;UNIVERSIDAD DE MANIZALES;UNIVERSIDAD AUTÓNOMA DE MANIZALES;UNIVERSIDAD CATOLICA LUIS AMIGO-FUNLAM,UNIVERSITARIO,MANIZALES,NO EXISTE BRECHA DE CANTIDAD
MANIZALES;BOGOTÁ;BARRANQUILLA;BUCARAMANGA;CALI;MEDELLÍN,1330. DIRECTORES DE SERVICIOS DE TECNOLOGIA DE LA INFORMACION Y LAS COMUNICACIONES,DIRECTOR DE DESARROLLO Y/O OPERACIÓNES,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;INGENIERÍA MECATRÓNICA;CERTIFICACIÓN EN BASES DE DATOS;CERTIFICACIÓN EN ATENCIÓN AL CLIENTE;CERTIFICACIONES EN WINDOWS Y LINUX;CONOCIMIENTO TÉCNICO EN JAVA;CONOCIMIENTO DE NOTE;CERTIFICACIÓN PLSQL;CERTIFICACIÓN ORACLE,INGENIERÍA MECATRÓNICA,,UNIVERSITARIO,MANIZALES,UNIVERSITARIO;INGENIERÍA MECATRÓNICA;
MANIZALES;BOGOTÁ;BARRANQUILLA;BUCARAMANGA;CALI;MEDELLÍN,1330. DIRECTORES DE SERVICIOS DE TECNOLOGIA DE LA INFORMACION Y LAS COMUNICACIONES,DIRECTOR DE DESARROLLO Y/O OPERACIÓNES,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;INGENIERÍA MECATRÓNICA;CERTIFICACIÓN EN BASES DE DATOS;CERTIFICACIÓN EN ATENCIÓN AL CLIENTE;CERTIFICACIONES EN WINDOWS Y LINUX;CONOCIMIENTO TÉCNICO EN JAVA;CONOCIMIENTO DE NOTE;CERTIFICACIÓN PLSQL;CERTIFICACIÓN ORACLE,INGENIERÍA MECATRÓNICA,,UNIVERSITARIO,BUCARAMANGA,UNIVERSITARIO;INGENIERÍA MECATRÓNICA;
MANIZALES;BOGOTÁ;BARRANQUILLA;BUCARAMANGA;CALI;MEDELLÍN,1330. DIRECTORES DE SERVICIOS DE TECNOLOGIA DE LA INFORMACION Y LAS COMUNICACIONES,DIRECTOR DE DESARROLLO Y/O OPERACIÓNES,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;INGENIERÍA MECATRÓNICA;CERTIFICACIÓN EN BASES DE DATOS;CERTIFICACIÓN EN ATENCIÓN AL CLIENTE;CERTIFICACIONES EN WINDOWS Y LINUX;CONOCIMIENTO TÉCNICO EN JAVA;CONOCIMIENTO DE NOTE;CERTIFICACIÓN PLSQL;CERTIFICACIÓN ORACLE,INGENIERÍA DE SISTEMAS,UNIVERSIDAD NACIONAL DE COLOMBIA;UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS;PONTIFICIA UNIVERSIDAD JAVERIANA;UNIVERSIDAD INCCA DE COLOMBIA;FUNDACIÓN UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO;UNIVERSIDAD CENTRAL;UNIVERSIDAD DE SAN BUENAVENTURA;UNIVERS,UNIVERSITARIO,BOGOTÁ,NO EXISTE BRECHA DE CANTIDAD
BUCARAMANGA;BOGOTÁ;CALI,2521. DISEÑADORES Y ADMINISTRADORES DE BASES DE DATOS,DIRECTOR DE DISEÑO,TÉCNICO;TÉCNICO EN SISTEMAS,TÉCNICO EN SISTEMAS,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TÉCNICO,BOGOTÁ,NO EXISTE BRECHA DE CANTIDAD
BUCARAMANGA;BOGOTÁ;CALI,2521. DISEÑADORES Y ADMINISTRADORES DE BASES DE DATOS,DIRECTOR DE DISEÑO,TÉCNICO;TÉCNICO EN SISTEMAS,TÉCNICO EN SISTEMAS,,TÉCNICO,BUCARAMANGA,TÉCNICO;TÉCNICO EN SISTEMAS;
BUCARAMANGA;BOGOTÁ;CALI,2521. DISEÑADORES Y ADMINISTRADORES DE BASES DE DATOS,DIRECTOR DE DISEÑO,TÉCNICO;TÉCNICO EN SISTEMAS,AUXILIAR DE SISTEMAS INFORMÁTICOS,CENTRO DE CAPACITACIÓNDON BOSCO;INSTITUTO POLITÉCNICO DE OCCIDENTE,TÉCNICO,CALI,NO EXISTE BRECHA DE CANTIDAD
MANIZALES;BUCARAMANGA;CALI,2519. DESARROLLADORES Y ANALISTAS DE SOFTWARE Y MULTIMEDIA NO CLASIFICADOS EN OTROS GRUPOS PRIMARIOS,GERENTE DE INNOVACIÓN Y DESARROLLO,TECNÓLOGO;TECNOLOGÍA EN SISTEMAS DE INFORMACIÓN;,TECNOLOGÍA EN DESARROLLO DE SISTEMAS INFORMÁTICOS,UNIDADES TECNOLÓGICAS DE SANTANDER,TECNÓLOGO,BUCARAMANGA,NO EXISTE BRECHA DE CANTIDAD
BUCARAMANGA;BOGOTÁ;CALI,2521. DISEÑADORES Y ADMINISTRADORES DE BASES DE DATOS,DIRECTOR DE DISEÑO,UNIVERSITARIO;INGENIERÍA DE SOFTWARE;BASE DE DATOS;CURSO DE ALTURA NIVEL AVANZADO;,INGENIERÍA DE SOFTWARE,;UNIVERSIDAD INDUSTRIAL DE SANTANDER;UNIVERSIDAD SANTO TOMÁS;UNIVERSIDAD PONTIFICIA BOLIVARIANA;UNIVERSIDAD COOPERATIVA DE COLOMBIA;UNIVERSIDAD AUTÓNOMA DE BUCARAMANGA-UNAB-;CORPORACIÓN UNIVERSITARIA DE CIENCIA Y DESARROLLO - UNICIENCIA;UNIVERSIDAD DE SAN,UNIVERSITARIO,BUCARAMANGA,NO EXISTE BRECHA DE CANTIDAD
BUCARAMANGA;BOGOTÁ;CALI,2521. DISEÑADORES Y ADMINISTRADORES DE BASES DE DATOS,DIRECTOR DE DISEÑO,UNIVERSITARIO;INGENIERÍA DE SOFTWARE;BASE DE DATOS;CURSO DE ALTURA NIVEL AVANZADO;,INGENIERÍA DE SOFTWARE,;UNIVERSIDAD MANUELA BELTRAN-UMB-;UNIVERSIDAD DE LA SALLE;UNIVERSIDAD LIBRE;UNIVERSIDAD DE LOS ANDES;CORPORACIÓN UNIVERSIDAD PILOTO DE COLOMBIA;UNIVERSIDAD COOPERATIVA DE COLOMBIA;UNIVERSIDAD ANTONIO NARIÑO;UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD;,UNIVERSITARIO,BOGOTÁ,NO EXISTE BRECHA DE CANTIDAD
CALI;BOGOTÁ;MEDELLÍN,1330. DIRECTORES DE SERVICIOS DE TECNOLOGIA DE LA INFORMACION Y LAS COMUNICACIONES,DIRECTOR DE DESARROLLO Y/O OPERACIÓNES,POSGRADO;DESARROLLO DE SOFTWARE;CERTIFICACIÓN SCRUM;CERTIFICACIÓN TOGAF;CERTIFICACIÓN COBIT;CERTIFICACIÓN ADWORDS;GOOGLE ANALYTICS;BLUE PRINT;CRM;INGLES;DCM;DS;CERTIFICACIÓN EN METOLOGIAS AGILES;,DESARROLLO DE SOFTWARE,,POSGRADO,BOGOTÁ,POSGRADO;DESARROLLO DE SOFTWARE;
CALI;BOGOTÁ;MEDELLÍN,1330. DIRECTORES DE SERVICIOS DE TECNOLOGIA DE LA INFORMACION Y LAS COMUNICACIONES,DIRECTOR DE DESARROLLO Y/O OPERACIÓNES,POSGRADO;DESARROLLO DE SOFTWARE;CERTIFICACIÓN SCRUM;CERTIFICACIÓN TOGAF;CERTIFICACIÓN COBIT;CERTIFICACIÓN ADWORDS;GOOGLE ANALYTICS;BLUE PRINT;CRM;INGLES;DCM;DS;CERTIFICACIÓN EN METOLOGIAS AGILES;,ESPECIALIZACIÓN EN DESARROLLO DE SOFTWARE,UNIVERSIDAD EAFIT-,POSGRADO,MEDELLÍN,TECNÓLOGO;ANALÍTICA;
CALI;BOGOTÁ;MEDELLÍN,1330. DIRECTORES DE SERVICIOS DE TECNOLOGIA DE LA INFORMACION Y LAS COMUNICACIONES,DIRECTOR DE DESARROLLO Y/O OPERACIÓNES,POSGRADO;DESARROLLO DE SOFTWARE;CERTIFICACIÓN SCRUM;CERTIFICACIÓN TOGAF;CERTIFICACIÓN COBIT;CERTIFICACIÓN ADWORDS;GOOGLE ANALYTICS;BLUE PRINT;CRM;INGLES;DCM;DS;CERTIFICACIÓN EN METOLOGIAS AGILES;,DESARROLLO DE SOFTWARE,,POSGRADO,CALI,POSGRADO;DESARROLLO DE SOFTWARE;
BOGOTÁ,1330. DIRECTORES DE SERVICIOS DE TECNOLOGIA DE LA INFORMACION Y LAS COMUNICACIONES,DIRECTOR DE PRODUCTO,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;CONOCIMIENTO TÉCNICO EN JAVA;CONOCIMIENTO DE NOTE;CERTIFICACIÓN PLSQL;CERTIFICACIÓN ORACLE FORMS;CERTIFICACIÓN SERVIDORES DE APLICACIONES;CERTIFICACIÓN ECLIPSE;ADMINISTRACIÓN EN WINDOWS  LINUX;SUBVERSION;JAVA PROGRAMER,INGENIERÍA DE SISTEMAS,UNIVERSIDAD NACIONAL DE COLOMBIA;UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS;PONTIFICIA UNIVERSIDAD JAVERIANA;UNIVERSIDAD INCCA DE COLOMBIA;FUNDACIÓN UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO;UNIVERSIDAD CENTRAL;UNIVERSIDAD DE SAN BUENAVENTURA;UNIVERS,UNIVERSITARIO,BOGOTÁ,NO EXISTE BRECHA DE CANTIDAD
BUCARAMANGA;MEDELLÍN,1330. DIRECTORES DE SERVICIOS DE TECNOLOGIA DE LA INFORMACION Y LAS COMUNICACIONES,DIRECTOR DE SEGURIDAD INFORMÁTICA,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;,INGENIERÍA DE SISTEMAS,UNIVERSIDAD NACIONAL DE COLOMBIA;UNIVERSIDAD DE ANTIOQUIA;UNIVERSIDAD PONTIFICIA BOLIVARIANA;UNIVERSIDAD EAFIT-;UNIVERSIDAD DE SAN BUENAVENTURA;UNIVERSIDAD DE MEDELLIN;UNIVERSIDAD CATOLICA LUIS AMIGO-FUNLAM;POLITÉCNICO GRANCOLOMBIANO;INSTITUCIÓN UNIVERSIT,UNIVERSITARIO,MEDELLÍN,UNIVERSITARIO;TELEINFORMÁTICA;
BUCARAMANGA;MEDELLÍN,1330. DIRECTORES DE SERVICIOS DE TECNOLOGIA DE LA INFORMACION Y LAS COMUNICACIONES,DIRECTOR DE SEGURIDAD INFORMÁTICA,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;,INGENIERÍA DE SISTEMAS,UNIVERSIDAD INDUSTRIAL DE SANTANDER;UNIVERSIDAD PONTIFICIA BOLIVARIANA;UNIVERSIDAD COOPERATIVA DE COLOMBIA;UNIVERSIDAD AUTÓNOMA DE BUCARAMANGA-UNAB-;CORPORACIÓN UNIVERSITARIA DE CIENCIA Y DESARROLLO - UNICIENCIA;CORPORACIÓN UNIVERSIDAD DE INVESTIGACIÓN Y,UNIVERSITARIO,BUCARAMANGA,NO EXISTE BRECHA DE CANTIDAD
BUCARAMANGA;MEDELLÍN,1330. DIRECTORES DE SERVICIOS DE TECNOLOGIA DE LA INFORMACION Y LAS COMUNICACIONES,DIRECTOR DE SEGURIDAD INFORMÁTICA,POSGRADO;ESPECIALIZACIÓN EN GERENCIA DE PROYECTOS;ESPECIALIZACIÓN EN INFORMÁTICA;CERTIFICACIÓN INTERNACIONAL EN INTIL;CERTIFICACIÓN INTERNACIONAL EN CMMI;CERTIFICACIONES DE SEGURIDAD DE LA INFORMACIÓN,ESPECIALIZACIÓN EN INFORMÁTICA,,POSGRADO,MEDELLÍN,POSGRADO;ESPECIALIZACIÓN EN INFORMÁTICA;UNIVERSITARIO;TELEINFORMÁTICA;
BUCARAMANGA;MEDELLÍN,1330. DIRECTORES DE SERVICIOS DE TECNOLOGIA DE LA INFORMACION Y LAS COMUNICACIONES,DIRECTOR DE SEGURIDAD INFORMÁTICA,POSGRADO;ESPECIALIZACIÓN EN GERENCIA DE PROYECTOS;ESPECIALIZACIÓN EN INFORMÁTICA;CERTIFICACIÓN INTERNACIONAL EN INTIL;CERTIFICACIÓN INTERNACIONAL EN CMMI;CERTIFICACIONES DE SEGURIDAD DE LA INFORMACIÓN,ESPECIALIZACIÓN EN GERENCIA DE PROYECTOS,,POSGRADO,MEDELLÍN,POSGRADO;ESPECIALIZACIÓN EN GERENCIA DE PROYECTOS;UNIVERSITARIO;TELEINFORMÁTICA;
BUCARAMANGA;MEDELLÍN,1330. DIRECTORES DE SERVICIOS DE TECNOLOGIA DE LA INFORMACION Y LAS COMUNICACIONES,DIRECTOR DE SEGURIDAD INFORMÁTICA,POSGRADO;ESPECIALIZACIÓN EN GERENCIA DE PROYECTOS;ESPECIALIZACIÓN EN INFORMÁTICA;CERTIFICACIÓN INTERNACIONAL EN INTIL;CERTIFICACIÓN INTERNACIONAL EN CMMI;CERTIFICACIONES DE SEGURIDAD DE LA INFORMACIÓN,ESPECIALIZACIÓN EN INFORMÁTICA,,POSGRADO,BUCARAMANGA,POSGRADO;ESPECIALIZACIÓN EN INFORMÁTICA;
BUCARAMANGA;MEDELLÍN,1330. DIRECTORES DE SERVICIOS DE TECNOLOGIA DE LA INFORMACION Y LAS COMUNICACIONES,DIRECTOR DE SEGURIDAD INFORMÁTICA,POSGRADO;ESPECIALIZACIÓN EN GERENCIA DE PROYECTOS;ESPECIALIZACIÓN EN INFORMÁTICA;CERTIFICACIÓN INTERNACIONAL EN INTIL;CERTIFICACIÓN INTERNACIONAL EN CMMI;CERTIFICACIONES DE SEGURIDAD DE LA INFORMACIÓN,ESPECIALIZACIÓN EN GERENCIA DE PROYECTOS,,POSGRADO,BUCARAMANGA,POSGRADO;ESPECIALIZACIÓN EN GERENCIA DE PROYECTOS;
BOGOTÁ,1330. DIRECTORES DE SERVICIOS DE TECNOLOGIA DE LA INFORMACION Y LAS COMUNICACIONES,DIRECTOR DE TECNOLOGÍA,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;INGENIERÍA ELECTRÓNICA;INGENIERÍA INFORMÁTICA,INGENIERÍA DE SISTEMAS,UNIVERSIDAD NACIONAL DE COLOMBIA;UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS;PONTIFICIA UNIVERSIDAD JAVERIANA;UNIVERSIDAD INCCA DE COLOMBIA;FUNDACIÓN UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO;UNIVERSIDAD CENTRAL;UNIVERSIDAD DE SAN BUENAVENTURA;UNIVERS,UNIVERSITARIO,BOGOTÁ,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ,1330. DIRECTORES DE SERVICIOS DE TECNOLOGIA DE LA INFORMACION Y LAS COMUNICACIONES,DIRECTOR DE TECNOLOGÍA,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;INGENIERÍA ELECTRÓNICA;INGENIERÍA INFORMÁTICA,INGENIERÍA INFORMÁTICA,"UNIVERSIDAD SANTO TOMÁS;ELITE- ESCUELA LATINOAMERICANA DE INGENIEROS, TECNÓLOGOS Y EMPRESARIOS;FUNDACIÓN UNIVERSITARIA INTERNACIONAL DE LA RIOJA - UNIR",UNIVERSITARIO,BOGOTÁ,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ,1330. DIRECTORES DE SERVICIOS DE TECNOLOGIA DE LA INFORMACION Y LAS COMUNICACIONES,DIRECTOR DE TECNOLOGÍA,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;INGENIERÍA ELECTRÓNICA;INGENIERÍA INFORMÁTICA,INGENIERÍA ELECTRÓNICA,CORPORACIÓN UNIFICADA NACIONAL DE EDUCACIÓN SUPERIOR-CUN-;ESCUELA COLOMBIANA DE INGENIERÍA JULIO GARAVITO;FUNDACIÓN UNIVERSITARIA LOS LIBERTADORES;UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD;UNIVERSIDAD ANTONIO NARI¿O;UNIVERSIDAD COOPERATIVA DE COLOMB,UNIVERSITARIO,BOGOTÁ,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ,1330. DIRECTORES DE SERVICIOS DE TECNOLOGIA DE LA INFORMACION Y LAS COMUNICACIONES,DIRECTOR DE TECNOLOGÍA,POSGRADO;ESPECIALIZACIÓN EN GERENCIA DE PROYECTOS,ESPECIALIZACIÓN EN GERENCIA DE PROYECTOS,,POSGRADO,BOGOTÁ,POSGRADO;ESPECIALIZACIÓN EN GERENCIA DE PROYECTOS;
BOGOTÁ;MANIZALES;CALI,2513. DESARROLLADORES WEB Y MULTIMEDIA,DISEÑADOR WEB,TÉCNICO;TÉCNICO EN SISTEMAS,TÉCNICO EN SISTEMAS,SERVICIO NACIONAL DE APRENDIZAJE-SENA-,TÉCNICO,BOGOTÁ,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MANIZALES;CALI,2513. DESARROLLADORES WEB Y MULTIMEDIA,DISEÑADOR WEB,TÉCNICO;TÉCNICO EN SISTEMAS,TÉCNICO EN SISTEMAS,,TÉCNICO,MANIZALES,TÉCNICO;TÉCNICO EN SISTEMAS;
BOGOTÁ;MANIZALES;CALI,2513. DESARROLLADORES WEB Y MULTIMEDIA,DISEÑADOR WEB,TÉCNICO;TÉCNICO EN SISTEMAS,AUXILIAR DE SISTEMAS INFORMÁTICOS,CENTRO DE CAPACITACIÓNDON BOSCO;INSTITUTO POLITÉCNICO DE OCCIDENTE,TÉCNICO,CALI,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MANIZALES;CALI,2513. DESARROLLADORES WEB Y MULTIMEDIA,DISEÑADOR WEB,TECNÓLOGO;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;,TECNOLOGÍA EN DESARROLLO DE SOFTWARE,UNIVERSIDAD DE SAN BUENAVENTURA;FUNDACIÓN UNIVERSITARIA CATOLICA LUMEN GENTIUM;CORPORACIÓN UNIVERSITARIA PARA EL DESARROLLO EMPRESARIAL Y SOCIAL- CUDES,TECNÓLOGO,CALI,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MANIZALES;CALI,2513. DESARROLLADORES WEB Y MULTIMEDIA,DISEÑADOR WEB,TECNÓLOGO;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;,TECNOLOGÍA EN DESARROLLO DE SOFTWARE,UNIVERSIDAD DE SAN BUENAVENTURA,TECNÓLOGO,BOGOTÁ,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MANIZALES;CALI,2513. DESARROLLADORES WEB Y MULTIMEDIA,DISEÑADOR WEB,TECNÓLOGO;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;,TECNOLOGÍA EN DESARROLLO DE SOFTWARE,,TECNÓLOGO,MANIZALES,TECNÓLOGO;TECNOLOGÍA EN DESARROLLO DE SOFTWARE;
BOGOTÁ;MANIZALES;CALI,2513. DESARROLLADORES WEB Y MULTIMEDIA,DISEÑADOR WEB,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;INGENIERÍA DE SOFTWARE;CERTIFICADO EN INGENIERO DE REQUERIMIENTOS;CERTIFICACIÓN EN PRODUCT OWNER;CERTIFICADO EN INGENIERO DE REQUERIMIENTOS;CERTIFICACIONES EN JAVA;CERTIFICACIONES EN .NET;DIPLOMADOS EN LIDERAZGO;,INGENIERÍA DE SISTEMAS,UNIVERSIDAD NACIONAL DE COLOMBIA;UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS;PONTIFICIA UNIVERSIDAD JAVERIANA;UNIVERSIDAD INCCA DE COLOMBIA;FUNDACIÓN UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO;UNIVERSIDAD CENTRAL;UNIVERSIDAD DE SAN BUENAVENTURA;UNIVERS,UNIVERSITARIO,BOGOTÁ,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MANIZALES;CALI,2513. DESARROLLADORES WEB Y MULTIMEDIA,DISEÑADOR WEB,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;INGENIERÍA DE SOFTWARE;CERTIFICADO EN INGENIERO DE REQUERIMIENTOS;CERTIFICACIÓN EN PRODUCT OWNER;CERTIFICADO EN INGENIERO DE REQUERIMIENTOS;CERTIFICACIONES EN JAVA;CERTIFICACIONES EN .NET;DIPLOMADOS EN LIDERAZGO;,INGENIERÍA DE SISTEMAS,UNIVERSIDAD DE CALDAS;UNIVERSIDAD DE MANIZALES;UNIVERSIDAD AUTÓNOMA DE MANIZALES;UNIVERSIDAD CATOLICA LUIS AMIGO-FUNLAM,UNIVERSITARIO,MANIZALES,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MANIZALES;CALI,2513. DESARROLLADORES WEB Y MULTIMEDIA,DISEÑADOR WEB,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;INGENIERÍA DE SOFTWARE;CERTIFICADO EN INGENIERO DE REQUERIMIENTOS;CERTIFICACIÓN EN PRODUCT OWNER;CERTIFICADO EN INGENIERO DE REQUERIMIENTOS;CERTIFICACIONES EN JAVA;CERTIFICACIONES EN .NET;DIPLOMADOS EN LIDERAZGO;,INGENIERÍA DE SOFTWARE,;UNIVERSIDAD DEL VALLE;PONTIFICIA UNIVERSIDAD JAVERIANA;UNIVERSIDAD DE SAN BUENAVENTURA;UNIVERSIDAD SANTIAGO DE CALI;UNIVERSIDAD LIBRE;UNIVERSIDAD COOPERATIVA DE COLOMBIA;UNIVERSIDAD ICESI;UNIVERSIDAD AUTÓNOMA DE OCCIDENTE;FUNDACIÓN UNIVERSITARIA CATOLICA,UNIVERSITARIO,CALI,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MANIZALES;CALI,2513. DESARROLLADORES WEB Y MULTIMEDIA,DISEÑADOR WEB,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;INGENIERÍA DE SOFTWARE;CERTIFICADO EN INGENIERO DE REQUERIMIENTOS;CERTIFICACIÓN EN PRODUCT OWNER;CERTIFICADO EN INGENIERO DE REQUERIMIENTOS;CERTIFICACIONES EN JAVA;CERTIFICACIONES EN .NET;DIPLOMADOS EN LIDERAZGO;,INGENIERÍA DE SISTEMAS,UNIVERSIDAD DEL VALLE;PONTIFICIA UNIVERSIDAD JAVERIANA;UNIVERSIDAD DE SAN BUENAVENTURA;UNIVERSIDAD SANTIAGO DE CALI;UNIVERSIDAD LIBRE;UNIVERSIDAD COOPERATIVA DE COLOMBIA;UNIVERSIDAD ICESI;FUNDACIÓN UNIVERSITARIA CATOLICA LUMEN GENTIUM;INSTITUCIÓN UNIVERSI,UNIVERSITARIO,CALI,NO EXISTE BRECHA DE CANTIDAD
BOGOTÁ;MANIZALES;CALI,2513. DESARROLLADORES WEB Y MULTIMEDIA,DISEÑADOR WEB,UNIVERSITARIO;INGENIERÍA DE SISTEMAS;INGENIERÍA DE SOFTWARE;CERTIFICADO EN INGENIERO DE REQUERIMIENTOS;CERTIFICACIÓN EN PRODUCT OWNER;CERTIFICADO EN INGENIERO DE REQUERIMIENTOS;CERTIFICACIONES EN JAVA;CERTIFICACIONES EN .NET;DIPLOMADOS EN LIDERAZGO;,INGENIERÍA DE SOFTWARE,;UNIVERSIDAD MANUELA BELTRAN-UMB-;UNIVERSIDAD DE LA SALLE;UNIVERSIDAD LIBRE;UNIVERSIDAD DE LOS ANDES;CORPORACIÓN UNIVERSIDAD PILOTO DE COLOMBIA;UNIVERSIDAD COOPERATIVA DE COLOMBIA;UNIVERSIDAD ANTONIO NARIÑO;UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD;,UNIVERSITARIO,BOGOTÁ,NO EXISTE BRECHA DE CANTIDAD
